Date,qqq,lqd,hyg,tlt,ief,shy,gld,slv,efa,eem,iyr,xle,xlk,xlf,GC=F,RPAR
2008-01-08,-0.012251817712794835,-0.007437484292061672,-0.00821795146178054,-0.007294276423429783,-0.006630950714875087,-0.006771113855501946,-0.0023196002534704363,7.293704093261615e-05,-0.008183821399973305,-0.008612645038795323,-0.014333366773090599,-0.010559214433221912,-0.012358762178157272,-0.014347787261297321,-0.0027807824391190925,
2008-01-09,0.00880073755409886,0.004124007331341697,0.0023553372539535733,0.004918725713048247,0.004221343721394457,0.004441425054206385,0.00400808670648233,0.003640145299626343,0.005981348744534856,0.011094208009455412,0.008479566264161012,0.007174901109802914,0.0073411239958585915,0.008318874857788386,0.004879838570882846,
2008-01-10,0.0025680215052223954,0.0016912432501399398,0.003760762566846809,-0.00042610472978092976,0.0017319811071768942,0.0022757897286810546,0.006204147645030434,0.00924744372680073,0.0020673742579497166,0.004632765371691727,0.004918576414919152,0.0014430605724990774,0.0026010068345964756,0.005689513841801209,0.005050096086164002,
2008-01-11,-0.0057546134135376195,-0.00038076793730110257,-0.0014070732831256102,-0.0002750104624982437,-0.0005647561970874189,-0.0012803837142699233,-0.0010892073219290485,-0.0016378608807603176,-0.00582719070035906,-0.007462464050961022,-0.0021631401070459863,-0.004267502927819317,-0.00475913644877854,-0.0011803790100701045,-0.0008502160578378777,
2008-01-14,0.007500559169925829,0.0031888041727496973,0.003320318087736367,0.004758022683095246,0.004105425812413114,0.004087370404373285,0.0061824454362198016,0.006540274913275761,0.007208054080056562,0.006956668634746981,0.003459817116406376,0.007983131074043763,0.008051098021304286,0.006778597090334531,0.0052424569763047475,
2008-01-15,-0.013986543539946408,-0.007396921510125622,-0.007959080103624663,-0.006229350322716067,-0.00716241210875487,-0.008302598975653677,-0.011933731720709898,-0.013950713296184705,-0.01496708273350277,-0.017517964926324237,-0.013678788467008065,-0.016746594664886785,-0.012670220964588887,-0.016721333300888534,-0.008604676418641679,
2008-01-16,-0.00689207812513589,-0.005043945804657644,-0.004968619877860689,-0.0061873654771544915,-0.005125208190686723,-0.0045752792063662095,-0.00767608231687603,-0.007017509125722885,-0.008777526399526767,-0.013066138931801228,-0.0021548226228403776,-0.011400641302375334,-0.009115075175191953,-0.0013768339662029927,-0.009272236089987916,
2008-01-17,-0.012631488026521316,-0.008912742010571701,-0.011264557293190376,-0.007260233067172734,-0.008234280428653812,-0.009514558032471383,-0.010313228359239797,-0.009046971797154607,-0.012863351155472231,-0.015675102187921647,-0.01227515811289281,-0.01740962127360423,-0.011622488941656756,-0.0200064510367327,-0.010101698491467354,
2008-01-18,-0.005656017950441156,-0.005728106735093102,-0.0038248084756465957,-0.006764456723484719,-0.0056812722437819705,-0.005223330202269311,-0.0032645195067063254,-0.001408725864692411,-0.004241560626273949,-0.0008290712966773136,-0.007071647134429898,-0.004955310205403213,-0.008879529002679593,-0.007717140557329954,-0.0050960631662228025,
2008-01-22,-0.006459301791900458,-0.0008688638069506546,-0.002690527027683371,0.00083684341617583,0.0009323282409171177,-0.0004583470873600067,0.00041638749396744534,-0.002896475820000073,-0.006877493230366257,-0.006321581961521124,0.005443883812960576,-0.0069598306431996005,-0.005022426269397258,0.0030141566965548082,0.0006987136879497418,
2008-01-23,0.009277152180217409,0.010308345144618649,0.010438258711952076,0.009590934644950267,0.009119851880000198,0.009951037068238324,0.009411630400503058,0.010021600073276661,0.008870425744398204,0.011319431805027903,0.02640477998066797,0.011898890555940069,0.011811161320708764,0.02425021812079997,0.008450546735901733,
2008-01-24,0.0052323588077382065,-0.0005557455894347378,0.0036503835829300433,-0.002866506937722298,-0.0006763500989487485,0.0005197183919155176,0.006125804618491753,0.006173738786617449,0.008155277011286072,0.005026670171980933,-0.0027667907605940026,0.008186828523347095,0.004028194220184593,0.0012140441003349253,0.006354761512620027,
2008-01-25,-0.00805881358661121,-0.0017972742694388178,-0.003657146908030926,-0.0005917462753493117,-0.002104064461289132,-0.003433222005248657,-0.003473257972344621,-0.003986241777898778,-0.006861489181526346,-0.0070040882478153415,-0.006743411082576731,-0.00753570635528865,-0.007065154190914322,-0.009192847593662134,-0.0028573531487957023,
2008-01-28,0.008312229398130979,0.006710691758760636,0.0058542532614708565,0.00601615010832878,0.006034649261610427,0.006670737806162088,0.009978024247128738,0.00985890438025411,0.009001665615475697,0.011715516242959138,0.014194865476904798,0.011308056900840127,0.007642187412229431,0.013904041129878343,0.010412856747382184,
2008-01-29,0.0014571468796209341,0.000760747775677455,0.0012997189203902515,-0.00026368810395129396,0.00029502135815418385,0.0009762558492948203,-0.00021175277627136333,0.0009028063358004479,0.0022993156681377956,0.00011566773538225668,-0.00011268493966578143,0.003344872877651355,0.002839755687648964,0.004151279515294686,0.0006646928758568915,
2008-01-30,-0.003854636276869439,-0.0037117663750167343,-0.002901249367369774,-0.004980854280010383,-0.003763752317038383,-0.003530619262691648,-0.0016777706764535606,-0.0019689083405075363,-0.004592303525766095,-0.0063070802573938385,-0.00835674589675317,-0.006179740403894197,-0.005230183405395095,-0.007733250182802198,-0.004647338483706554,
2008-01-31,0.013823214671894278,0.011050628483076573,0.010802779674020355,0.011818409622920011,0.011425631035047576,0.010589154495939477,0.008963608758339667,0.012112608842903959,0.012520889734769735,0.014406415679338744,0.015160851993397638,0.008801130879789162,0.01292358553706677,0.018540261925295863,0.01085367983784514,
2008-02-01,0.01079958409254247,0.00960938480272917,0.00887094508119719,0.009963154695895282,0.009410272087018789,0.008979362275613,0.004275275734741024,0.00639453157878791,0.012106448428732097,0.01274965732213289,0.01654580774074339,0.013789801042100126,0.012201944830291467,0.012467379285493596,0.00572648673264089,
2008-02-04,-0.010639057506574791,-0.008371168086256753,-0.007790473096874707,-0.009889720539337411,-0.008943283569546923,-0.007807461318912346,-0.008391031478997602,-0.009083015037620525,-0.009870932111541133,-0.007215480258286534,-0.010934119915185427,-0.007691214058661356,-0.011975194963039226,-0.013626653204303032,-0.008667791316051466,
2008-02-05,-0.0162927390642982,-0.009907029255800514,-0.012205125983916543,-0.009069463352739815,-0.009188657687160972,-0.010141881002066677,-0.013784911268620914,-0.01481183104213659,-0.019773281567218227,-0.02136507165595871,-0.0169301436283801,-0.01886089475013051,-0.015606110762839487,-0.01871683957039072,-0.01479684440195008,
2008-02-06,-0.00837195411609562,-0.0055117722687896544,-0.004843557290079375,-0.005044205395682738,-0.004788658789221905,-0.004361641284734868,-0.0015364556315214098,-0.001860200658302329,-0.004606091328712752,-0.007708558751145872,-0.008271193989017194,-0.007179837518299253,-0.006647767958808398,-0.006748014860353285,-0.0010921137199872357,
2008-02-07,0.000981627799701474,-0.0027192543300442124,-0.0012628238597612688,-0.004729078189376784,-0.002666575874408733,-0.0006829339187775889,0.001603656840779983,0.0031830989384613326,-0.0014286045145309784,0.0029711771136182903,0.004400830500362769,0.0035201723361264654,0.0008340167689974095,0.0014095603549487642,0.0007791038155939573,
2008-02-08,0.0018908461913026999,0.00037393367451449516,-0.0018893266946853203,0.001906017878401647,0.0013049250819496285,-2.3380016944738293e-05,0.0021774088370642014,0.003888717140411427,-0.002438937552968543,-0.0007596821372793582,-0.006587544906309337,0.0025519487100448407,-0.0018955677153606886,-0.0037181621303873456,0.002332526449152308,
2008-02-11,0.0053221886270764344,0.0037693107732345065,0.0015856783202175693,0.003998806530044679,0.003612308852414152,0.003238037767889361,0.0038916080749996683,0.007559616882840663,0.004219922295242222,0.005645593078197635,-0.0008400089095778672,0.008320207457638444,0.006664067847473403,-0.0012584171668642299,0.004146294456172654,
2008-02-12,0.0026393007922413244,0.0034918336715300054,0.004528492608612629,0.0025834002919640844,0.0033509936122259683,0.0038454913726327883,-0.0006059131683911626,-0.0004445670068294926,0.008082428577345997,0.006999129682914848,0.010083156264737854,0.003662102042394518,0.0042145088431639185,0.009279052785419115,0.00041483158303341067,
2008-02-13,0.007932117036331272,0.0015382497595714372,0.003028519062243058,0.0014336924574070275,0.00270286991946695,0.003622248476762708,0.0037968706261125094,0.004713029250188212,0.004918571963833846,0.008047309324918013,0.004486800190893687,0.008410289941557743,0.00812401975066745,0.0028167044071740486,0.003352217076420145,
2008-02-14,-0.009597402493585188,-0.006416923390014988,-0.004995541590325985,-0.008919072993373182,-0.007077288946770604,-0.006123051851435206,-0.005376039878417087,-0.006505122666097423,-0.006885666388659622,-0.008552364563916087,-0.007470743874807511,-0.007697499221562936,-0.009935024682301346,-0.011431083559585803,-0.005781217764488016,
2008-02-15,-0.00010443199302073041,0.001225470659211565,7.78718383894273e-05,0.0021132091653955866,0.001005730031727099,0.0003629067186702263,-0.0006705707805250415,-0.001002260267116477,0.0013172087351481301,0.002004704115456608,-0.0002357413190494916,0.0009353937560872173,-0.00012385203101721747,0.003758561038956927,-0.0004360027992144122,
2008-02-19,-0.0013171639028965701,-0.002926030140610272,-0.001975739903116383,-0.0029763164731326256,-0.002390629308820094,-0.0010956007808423343,0.004499427137156661,0.004073903046610159,0.0010026534859052115,0.0016644958963862064,-0.004439865903611798,0.00563678638777084,-0.0028006679774466386,-0.0012502189963654513,0.004320423254100233,
2008-02-20,0.0020417244967865056,0.0015681440399540048,0.001652201471890562,0.00251256388626631,0.0009463389190022698,0.0008880764784661866,0.004752571068875016,0.004833174822187685,8.925318157014138e-05,0.002796848872992568,0.005796333407791981,0.0035194102034840575,0.001482788647271276,0.003441541467574964,0.0028540770952557182,
2008-02-21,-0.0026030467093806605,0.0006856545002379562,-1.8676841860576499e-07,0.0014270221331559446,0.0013706110375601463,-0.00014043905947428163,-0.0006699702903248811,-0.0007366409087131127,-0.001058036482037647,-0.003493423670601867,-0.0052226586954193,-0.006180646961251166,-0.0010462488043151725,-0.00423378116701508,0.0017695210289917192,
2008-02-22,0.002793957127909241,0.0012797735927053463,0.002413236022701914,0.000913264963318538,0.0014979655667793463,0.00184374768751383,0.0023589225172347735,0.004545107259242442,0.004601380881480566,0.004742546729882724,0.006758949428148808,0.004327091110227065,0.0018810119740966464,0.006416232445966629,0.001762711661497906,
2008-02-25,0.004935949520380917,0.0026509115752810742,0.00453288384584611,0.0018856005112714634,0.0026013096845373517,0.0036176335912514413,0.0025365810419661415,0.004754666900896405,0.007109015376226475,0.007653287023169693,0.010114125512838053,0.009642897954443548,0.005084589339890817,0.003928596311538897,0.0024254658935543637,
2008-02-26,0.0051716328447014345,0.00583683625863114,0.005684869141394433,0.004463151429730905,0.004895450792370104,0.004684571549133443,0.006489102284170078,0.01117878203476792,0.0073629725478332915,0.007038912354510573,0.0042760210384367395,0.007797937424653867,0.00669611649366626,0.0061619411886055355,0.006210369839041041,
2008-02-27,0.0012718926302859226,8.290563799814526e-05,0.00023221558504137548,0.00044896126755372917,0.0007479427238661707,0.0005126700122282469,0.002557074601977352,0.006004606552376171,0.0009229212661893717,0.0019611655139942477,-0.0011516281806487649,-0.002330158240603684,0.0004482257575204952,0.0011481843757328216,0.0028313111653328975,
2008-02-28,-0.0017064624435603277,0.0005107682427968024,-0.0012277258840316246,0.002614283711279911,0.0014045126825709714,-0.00046073209091797854,0.001614498279864343,0.004632754590235147,-0.002853855466160113,-0.0030886582539685877,-0.005092131370175154,0.002501113952431258,-0.0034715174363642324,-0.007179784949322529,0.0003761818916735132,
2008-02-29,-0.01257878129489352,-0.006006131019588182,-0.00804001703071551,-0.004215033947540662,-0.005136921130889175,-0.006583855228241812,-0.006879237742019066,-0.007254788908652969,-0.012285997920883765,-0.015225622570156142,-0.010768028465798078,-0.013911404488024151,-0.011344120947025886,-0.01379195557332467,-0.005699176384367347,
2008-03-03,-0.0032653444891339017,-0.001965495157195827,-0.0019071862644440697,-0.0024770186761420157,-0.0024699442822720833,-0.001954339387442037,0.0002427002088309393,0.003072070603517876,-0.0013748850101512923,-0.0008727785746350226,-0.0008822586861660577,0.0005369579747024032,-0.002051750045836096,-0.004671462462340679,-2.7532681593864933e-05,
2008-03-04,-0.0019144650114128671,-0.004210925042175116,-0.003269017658817939,-0.004983222519021267,-0.003792860796080664,-0.0030871398743499293,-0.007276272206581567,-0.008425433568750373,-0.006075121232419254,-0.007683916651255194,-0.004649513810998882,-0.006935491846577544,-0.0027683233604235283,-0.004138233404728573,-0.006625680056407788,
2008-03-05,0.0026227201834335377,0.00023721492686056478,0.002208411603336593,-0.0007500601645223353,0.0007764888213150599,0.0015249427211068722,0.006981184043748669,0.011847793973437017,0.00404773264126951,0.005844636335661715,0.00145302201078056,0.006677038558302142,0.0030872525433351416,6.525320049030267e-05,0.006270959760635488,
2008-03-06,-0.011767620436498283,-0.007629220136253623,-0.007882340358160489,-0.0062913615263776815,-0.005752823541471708,-0.00676555495533111,-0.00985824733565548,-0.012656882676819903,-0.010211665687241946,-0.01421843052504326,-0.01653618790107241,-0.011366463683212214,-0.01013775713286942,-0.014282492385406,-0.009632661866696136,
2008-03-07,-0.004319478268195933,-0.004267265923902644,-0.004263409493595862,-0.0035849918300191156,-0.0031582532599573466,-0.003940451087878296,-0.004694989591172707,-0.004193931938723119,-0.006198239126637009,-0.006611536306730805,-0.0018419355040392295,-0.009356159944476574,-0.00384524106866623,-0.003433191709295871,-0.004419597539018785,
2008-03-10,-0.007881597279310539,-0.004069191376759086,-0.004491468742907724,-0.0010814941758819155,-0.002595076211189297,-0.0038168795254331384,-0.004488698543777837,-0.00966953544417547,-0.005034713652896441,-0.007540861303503479,-0.0072705496565121834,-0.006498211074831452,-0.006210693990899609,-0.009705140311120675,-0.0045039589718990705,
2008-03-11,0.021386987053715226,0.011490293599537729,0.014280388344706177,0.01206707140919088,0.011605620019545973,0.012779705366173481,0.014026940573488104,0.01423874347780292,0.02009048682195707,0.02722802497267385,0.02799032571683105,0.024071702195438575,0.02084736122793303,0.02689543828473393,0.014663298576174525,
2008-03-12,-0.0013600866927517205,0.0016103911415833853,-0.000841597458789449,0.0030585519539749043,0.0015060207479921056,-0.00015546754975848532,0.001325579369828063,0.0038109929474940698,-0.0007996509565827023,-0.004504957704008432,-0.00509759983622065,-0.005238296735579633,-0.002839648776705976,-0.004135556960752478,0.00014470862631574407,
2008-03-13,0.0009217754943544509,-0.002793665942345944,-0.0020267194130039723,-0.0021885242138515925,-0.0016755346575761587,-0.00071872702313168,0.002118421503619885,0.0037430063827743523,-0.00028810411398000113,-0.0024456400675342584,0.0018772539617357609,0.0027142859518703233,-0.001430038010906052,-0.0011083050702655672,0.0021349279613243864,
2008-03-14,-0.0077950075439827205,-0.004240500635475272,-0.00532602729990543,-0.0016517122314288553,-0.0020528161082182103,-0.0035292654156797018,-0.0033715367986552466,-0.003977024168502582,-0.008951075404913307,-0.011214334152242864,-0.007385661461127976,-0.007774800825720704,-0.006643070189402574,-0.009792002091436932,-0.002934872328665846,
2008-03-17,-0.006891607152166576,-0.0016147217293057542,-0.004180306990722147,-0.0017097345772040557,-0.002243567172637126,-0.0027959607860595344,-0.002314558241156081,-0.007565662739989763,-0.00627729430793221,-0.008187858066749296,-0.0045985572043772596,-0.010228808906991812,-0.004157865683617254,-0.007829883954526537,-0.0026054229774730682,
2008-03-18,0.026673590144969263,0.017387418997604855,0.020695447538259273,0.016980825196772978,0.016386588741216325,0.017043675779641523,0.012368853602664933,0.011737528487122353,0.02387923933839067,0.02815232737647027,0.027962575628997913,0.026485262654080823,0.026723924373451995,0.03455518325811829,0.01811303721868092,
2008-03-19,-0.014066600028514245,-0.008259007423116218,-0.008917777828937047,-0.005814265541162413,-0.007401677936350284,-0.008914041108322114,-0.016298744493166675,-0.020769232353939453,-0.0163671445682302,-0.021138256062566668,-0.011317088360850273,-0.02134558530464458,-0.015084863361037995,-0.014399105650285385,-0.020790441218598868,
2008-03-20,0.013671314557499283,0.010641073478416587,0.010528385680829457,0.010078952072352234,0.010017006689435882,0.009346562654979797,0.002855618083668655,-0.007401461793953044,0.012594220128686608,0.012952405911216758,0.017939293189383455,0.01047192309908809,0.01180577505767726,0.023985952096994015,0.0042700370864140035,
2008-03-24,0.010872868112325431,0.003574777979115375,0.005481933979251865,8.81239150350671e-05,0.0004340030442195348,0.003125918283156772,0.004379789699859051,0.004987040126748479,0.007613966809794039,0.011624343091933421,0.007368889971241002,0.00745946997061683,0.011013798143857646,0.006540715908548425,0.0036744274152933484,
2008-03-25,0.0027115948336421973,0.0024902981615451923,0.0021083465737432496,0.0024294434249956167,0.002294245221566129,0.0017330060652187473,0.007428002771636325,0.013361034471572122,0.004502479943861939,0.004660452805834883,0.0031668554857163045,0.0035886589435274808,0.001762638289033749,0.0009899143877962445,0.005140069511959169,
2008-03-26,-0.006207867447950051,-0.005380022099279165,-0.006103586986552485,-0.006463899884467735,-0.005474714222598394,-0.005198922603893514,-0.003320224265450262,-0.0005646989529008726,-0.005627998785215134,-0.007250617375982933,-0.010912094831629778,-0.0012855515209408263,-0.009507294552989171,-0.012851474669214786,-0.00254646127393185,
2008-03-27,-0.006363705331038845,-0.003153157897858856,-0.002576686359702891,-0.0033401263080518676,-0.0021969301476474534,-0.0017200802021540796,-0.0026590612550686245,-0.000891589676067257,-0.002101378348228895,-0.0029007941873494714,-0.0027831669209187515,-0.003951560976875941,-0.00351649286159021,-0.0050566149097767315,-0.0019762583283287685,
2008-03-28,-0.004333986021010827,-0.002254093147965897,-0.0032233389383805825,-0.0013829429941458306,-0.002537622908548754,-0.0032323274964690457,-0.006708510883355291,-0.009550085512252383,-0.0034946825518569207,-0.003686124544636216,-0.0064028328633470855,-0.0038709003362375374,-0.004568015801248726,-0.007847680425466953,-0.007163808896978364,
2008-03-31,0.0032959205667075237,0.002771827858947464,0.0031318327862180162,0.0029497854923248657,0.0025878093784427758,0.0022857317140344245,-0.0009616057464633212,-0.005750522009173174,0.0029640603305252445,0.0034210228186189705,0.003567999692071524,0.004036547172937501,0.001970684634539612,0.004023241562540249,-0.0008565635147542586,
2008-04-01,0.02263297124056004,0.013759469637304756,0.014957312044598171,0.01082355804651446,0.01232977675747945,0.013355335536581936,0.006225423328626868,0.008902791048722037,0.02039285964652814,0.021758167193475175,0.023909569937671807,0.017832271864097915,0.01988211239599663,0.028151736030445285,0.0068093909103634,
2008-04-02,-0.001182134202959091,-0.00039888338363144995,-0.000639717074254005,-0.0003176927069112613,-0.001405867062241768,-0.0009106114424827629,0.004805675189142171,0.0070396560441295985,-0.0003120630259462588,-0.0006000938937973556,0.00010572271513125547,0.0020398256174050822,0.0016860424695129429,-0.0008938106147959159,0.0020427944646954897,
2008-04-03,0.0016332587286603762,0.0012888912088579742,0.0008413703017157116,0.0016399352960969793,0.0011936355063771843,0.0010500954505456806,0.0015296980839947416,0.0010080765661976533,0.001785653708389985,0.0036284473468289847,0.005275841099663588,0.0016642267875303497,0.0011078882577703687,0.0020959829084089953,0.003383087619722831,
2008-04-04,0.003104932891891359,0.0043453384708539485,0.0026884516091758392,0.0037436336427663355,0.0034489923050224293,0.002279327137741376,0.003776854245745769,0.0063893944320920154,0.00259108950793026,0.0011138997727184342,-0.0013370869717049772,0.003563652586475179,0.001234371396818217,-0.0007742134160646464,0.0028044200504569617,
2008-04-07,-0.0023010809330589327,-0.001638590755480154,-0.0002722724418815405,-0.002915401140159482,-0.003184131510082158,-0.002247020765245225,0.00017377252947007064,0.001938583231598665,-0.0006350535651044621,0.0007917698136168916,-0.0023297846823554427,-0.0008043095145569359,-0.0016929066043054244,-0.0006510133036951606,0.0011492995397325598,
2008-04-08,-0.0019850580099590198,-0.0011713185776193757,0.00022184268517758468,-0.0011523011120450643,-0.0004331889032595537,-0.0003357097193685731,-0.0022541323875198715,-0.005391237462598121,-0.002554737405108023,-0.0015489685688026356,-0.0029593265059582397,0.0018092947714268707,-0.0016590265528586467,-0.002717864967702801,-0.002341068327762521,
2008-04-09,-0.0038074820029530615,-0.002147483600994677,-0.0032995661553839326,0.0005156685790046291,-0.0003662480117007491,-0.001178750893731468,0.0027331466604376513,0.004242116872869666,-0.003199443067649006,-0.00467699812415447,-0.005630298996287726,-0.00117967606427773,-0.0024263269700210708,-0.004917340259460397,0.0027275654785714745,
2008-04-10,0.0022549836760998154,-0.0004060232054663262,0.0001261849191248563,-0.0012671353254104338,-0.0013879110697922628,-0.0006673328751472686,-0.0017227334310814958,-0.002849509273058986,-0.0012186744161363054,0.0022684724197181436,-0.0010172125680039826,-0.000976708227420602,0.0010548261017187155,-0.0018371685675098218,-0.0017312288342275876,
2008-04-11,-0.013471659920610826,-0.0077487128703438565,-0.00954132121888537,-0.006590918058397434,-0.0070766278582877,-0.0076040650187029785,-0.008962336626243897,-0.01056550582999484,-0.010627135597059247,-0.011199579976890774,-0.008661829392017309,-0.01073718477794289,-0.013280551492008654,-0.01176320093320248,-0.008950657002940501,
